country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion
Afghanistan,234174,0,7996,0,211080,15098,0,5746
Albania,334863,0,3605,0,330233,1025,0,116825
Algeria,272010,0,6881,0,183061,82068,0,5998
Andorra,48015,0,165,0,0,47850,0,619844
Angola,107327,0,1937,0,103419,1971,0,3064
Anguilla,3904,0,12,0,0,3892,0,256336
Antigua and Barbuda,9106,0,146,0,8954,6,0,91509
Argentina,10128845,0,130841,0,9997258,746,0,220143
Armenia,451831,0,8777,0,435162,7892,0,152031
Aruba,44224,0,292,0,42438,1494,2,410969
Australia,11853144,0,24414,0,11820014,8716,3,454687
Austria,6081287,0,22542,0,6054934,3811,0,670727
Azerbaijan,835234,0,10400,0,824089,745,0,81089
Bahamas,38084,0,844,0,36366,874,1,95087
Bahrain,729549,0,1574,0,727915,60,0,408944
Bangladesh,2049377,0,29493,0,0,2019884,0,12207
Barbados,110578,0,648,0,108647,1283,0,383921
Belarus,994037,0,7118,0,985592,1327,0,105381
Belgium,4861695,0,34376,0,4826798,521,0,416659
Belize,71409,0,688,0,0,70721,0,173243
Benin,28036,0,163,0,27847,26,0,2193
Bermuda,18860,0,165,0,18685,10,0,304493
Bhutan,62697,0,21,0,61564,1112,0,79571
Bolivia,1212131,0,22407,0,1177145,12579,220,101073
Bosnia,403615,0,16388,0,379084,8143,0,124215
Botswana,330638,0,2801,0,327049,788,1,135443
Brazil,38743918,0,711380,0,36249161,1783377,0,179908
British Virgin Islands,7392,0,64,0,0,7328,0,241600
Brunei,343719,0,225,0,243601,99893,3,771655
Bulgaria,1339851,0,38748,0,1292944,8159,22,195753
Burkina Faso,22114,0,400,0,21596,118,0,1001
Burundi,54721,0,38,0,53569,1114,0,4334
Cabo Verde,64477,0,417,0,63755,305,23,113580
Cambodia,139103,0,3056,0,136044,3,0,8102
Cameroon,125379,0,1974,0,123280,125,0,4492
Canada,4946090,0,59034,0,4881312,5744,99,128843
Caribbean Netherlands,11682,0,38,0,10476,1168,0,438398
Cayman Islands,31472,0,37,0,8553,22882,1,467797
Central African Republic,15440,0,113,0,15200,127,2,3078
Chad,7701,0,194,0,4874,2633,0,442
Channel Islands,101717,0,228,0,101321,168,0,576421
Chile,5384853,0,64497,0,5252450,67906,7,279730
China,503302,0,5272,0,379053,118977,0,347
Colombia,6400173,0,143200,0,6212152,44821,342,124244
Comoros,9109,0,161,0,8939,9,0,10038
Congo,25375,0,386,0,24006,983,0,4377
Cook Islands,7203,0,2,0,7150,51,0,409937
Costa Rica,1238883,0,9428,0,0,1229455,0,239058
Croatia,1309728,0,18687,0,1258432,32609,0,322650
Cuba,1115251,0,8530,0,1106660,61,0,98645
Curaçao,45986,0,295,0,44720,971,3,277812
Cyprus,681110,0,1365,0,679745,0,0,556741
Czechia,4759041,0,43517,0,4715206,318,2,443246
Côte d'Ivoire,88384,0,835,0,87497,52,0,3186
DRC,99338,0,1468,0,84489,13381,0,1043
Denmark,3183756,0,8814,0,3174942,0,0,545636
Diamond Princess,712,0,13,0,699,0,0,0
Djibouti,15690,0,189,0,15427,74,0,15441
Dominica,16038,0,74,0,15964,0,0,221691
Dominican Republic,675890,0,4384,0,671316,190,4,61131
Ecuador,1070188,0,36043,0,1034145,0,0,59083
Egypt,516023,0,24613,0,442182,49228,122,4861
El Salvador,201855,0,4230,0,179410,18215,0,30816
Equatorial Guinea,17229,0,183,0,16907,139,5,11512
Eritrea,10189,0,103,0,10086,0,0,2782
Estonia,628070,0,3001,0,0,625069,0,475123
Ethiopia,501157,0,7574,0,488171,5412,0,4148
Falkland Islands (Malvinas),1930,0,0,0,1930,0,0,545352
Faroe Islands,34658,0,28,0,0,34630,0,703959
Fiji,69117,0,885,0,67226,1006,0,75997
Finland,1516117,0,11958,0,1503989,170,0,272930
France,40138560,0,167642,0,39970918,0,0,612013
French Guiana,98041,0,420,0,11254,86367,6,312065
French Polynesia,79254,0,650,0,0,78604,0,278902
Gabon,49051,0,307,0,48674,70,0,21038
Gambia,12626,0,372,0,12189,65,0,4935
Georgia,1861665,0,17132,0,0,1844533,0,469082
Germany,38828995,0,183027,0,38240600,405368,0,462891
Ghana,171889,0,1462,0,170425,2,0,5306
Gibraltar,20550,0,113,0,0,20437,0,609720
Greece,6101379,0,37869,0,0,6063510,0,591412
Greenland,11971,0,21,0,2761,9189,4,210117
Grenada,19693,0,238,0,19358,97,4,173545
Guadeloupe,203235,0,1021,0,0,202214,0,508349
Guatemala,1291293,0,20289,0,1269891,1113,5,69484
Guinea,38572,0,468,0,37757,347,0,2782
Guinea-Bissau,9614,0,177,0,8929,508,6,4659
